"GUID","Catalogusnummer","Beschrijving","notities","spatials","categorieen","Datering_vroegst","Datering_laatst","licentie","Auteursrechthouder","Vervaardiger","cxtwd_uitgdruk","Afmeting","Afmeting_2"
"6CC21F664E7355C2A26C3E8D7973DAE9","171129","Afbeelding van president-directeur ir. J. Lohmann van de N.S. die de felicitaties in ontvangst neemt bij de opening van het nieuwe N.S.-station Driebergen-Zeist te Driebergen-Rijsenburg.","  ","","https://commons.wikimedia.org/wiki/Category:035_Lunetten-De_Haar_Aansluiting|https://commons.wikimedia.org/wiki/Category:Opening_ceremonies_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Rail_transport_staff_from_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","18-12-1962","18-12-1962","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"FE2D91C3750F57B890810FDA4EA9613B","153102","Gezicht op het nieuwe perron aan de noordzijde (Kennemerplein) van het N.S.-station Haarlem te Haarlem.","  ","http://www.wikidata.org/entity/Q17286538","https://commons.wikimedia.org/wiki/Category:527_Haarlem|https://commons.wikimedia.org/wiki/Category:Station_Haarlem|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","11-11-1953","11-11-1953","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"E56A2D869F185E7B87CBF62C644F109A","156130","Afbeelding van een stenen beeld door Joop Hekman bij het Piazzaviaduct te Eindhoven.","  ","","","01-01-1983","31-12-1983","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 13 cm","hoogte 18 cm"
"8B315AF3AB3F5C21A95AACD93C273DE9","171909","Afbeelding van de opening van de vernieuwde hal van het N.S.-station Leeuwarden te Leeuwarden, met rechts J.A. Muetstege (chef exploitatie van het district noord-oost van de N.S.) die burgemeester J.S. Brandsma enkele treinabonnementen cadeau doet, bestemd voor enkele inwoners van Leeuwarden die rond die datum jarig zijn.","NS fotonummer 24235  ","","https://commons.wikimedia.org/wiki/Category:550_Leeuwarden|https://commons.wikimedia.org/wiki/Category:Mayors_of_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Opening_ceremonies_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Station_Leeuwarden|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","10-02-1971","10-02-1971","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 13 cm","hoogte 13 cm"
"E23CBA8C54995E7C9497C80C84115943","168711","Luchtfoto van het N.S.-station Meppel te Meppel.","KLM fotonummer 16972  ","","https://commons.wikimedia.org/wiki/Category:502_Meppel|https://commons.wikimedia.org/wiki/Category:Station_Meppel","01-10-1947","01-10-1947","Publiek Domein 1.0",,"KLM Aerocarto, fotograaf",,"breedte 23 cm","hoogte 17 cm"
