"GUID","Catalogusnummer","Beschrijving","notities","spatials","categorieen","Datering_vroegst","Datering_laatst","licentie","Auteursrechthouder","Vervaardiger","cxtwd_uitgdruk","Afmeting","Afmeting_2"
"83999C9D9AA751A5960E9281177E5293","162903","Gezicht op het S.S.-station Groningen Hoofdstation te Groningen.","Afbeelding behoort tot de Collectie De Pater.  ","","","01-01-1901","31-12-1906","Publiek Domein 1.0",,,,"hoogte 8 cm","breedte 13 cm"
"B479DF02AEC45454885E3A9AE7B6CE30","166611","Gezicht op de spoordbrug over de Maas bij Hedel.","  ","","https://commons.wikimedia.org/wiki/Category:046_Geldermalsen-'s-Hertogenbosch|https://commons.wikimedia.org/wiki/Category:Bridges_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","01-01-1981","31-12-1981","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 18 cm"
"D057B0054FA456109FD1D55805891B17","151647","Afbeelding van een trein bestaande uit electrisch buffermaterieel (""blokkendozen"", mat. 1924), getrokken door het motorrijtuig nr. C 9037 van de N.S. te Amsterdam.","  ","","https://commons.wikimedia.org/wiki/Category:586_Amsterdam_CS|https://commons.wikimedia.org/wiki/Category:Amsterdam_Central_station","01-01-1946","31-12-1946","CC BY 4.0","Nederlandse Spoorwegen","Gerdessen, D.C. (Nederlandse Spoorwegen), fotograaf",,"breedte 18 cm","hoogte 13 cm"
"F8CE85D3261959D69640227F39A0FB00","166053","Interieur van de wachtkamer met buffet op het 1e perron van het N.S.-station Eindhoven te Eindhoven.","  ","","https://commons.wikimedia.org/wiki/Category:618_Eindhoven|https://commons.wikimedia.org/wiki/Category:Eindhoven_Central_station|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","04-04-1955","04-04-1955","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 24 cm","hoogte 18 cm"
"75B482D8AA9453CFA5323079C95F6A63","168802","Afbeelding van een gezelschap op het perron van het N.S.-station Soestdijkerstraatweg te Hilversum, ter gelegenheid van het 75-jarig bestaan van de firma Verkade, met langs het perron een extra trein bestaande uit electrische treinstellen mat. 1936 van de N.S.  N.B. De stationsnaam Soestdijkerstraatweg is op 30 mei 1965 gewijzigd in Hilversum Sportpark.","  ","http://www.wikidata.org/entity/Q19522951","https://commons.wikimedia.org/wiki/Category:095_Hilversum-Blauwkapel|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","02-05-1961","02-05-1961","CC BY 4.0","Nederlandse Spoorwegen","Hessels, L. (Nederlandse Spoorwegen), fotograaf",,"breedte 13 cm","hoogte 18 cm"
"61C82F273DEC5AA2AFB37229E1DB0A76","153639","Gezicht op het Amsterdam-Rijnkanaal bij Weesp met diverse schepen en op de achtergrond de spoorbrug.","  ","","https://commons.wikimedia.org/wiki/Category:128_Diemen_Aansluiting-Weesp_Aansluiting|https://commons.wikimedia.org/wiki/Category:Bridges_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Canals_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","01-01-1981","31-12-1981","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"441C2666D8E558F9824F97CF68E7EAA5","151464","Afbeelding van het loopwerk bij de assen op een Zweedse 3 cilinder stoomlocomotief uit de serie 4700 van de N.S.","  ","","","00-00-1945","00-00-1945","Publiek Domein 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"D40934F76E0D5018816C22AFBD6C656C","171830","Afbeelding van de poot van de (verstelbare) bestuurdersstoel in de cabine (stuurstand) van het electrische treinstel nr. 1970 (mat. 1954, plan P) van de N.S.","NS fotonummer 23755  ","","","01-11-1970","30-11-1970","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 18 cm"
"D152F39F32145EE8ABCC024F412AA181","166055","Interieur van het N.S.-station Eindhoven te Eindhoven: restauratie.","  ","","https://commons.wikimedia.org/wiki/Category:618_Eindhoven|https://commons.wikimedia.org/wiki/Category:Eindhoven_Central_station|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","09-08-1956","09-08-1956","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 24 cm"
"EEBE33BB40AE5A57B4B515F4B1C56691","170046","Gezicht op het viaduct over de spoorlijn ten oosten van Valkenburg, met een passerende trein.","De afbeelding behoort tot de collectie van de Stichting Spoor- en Tramwegverzamelingen. Weg naar de Kluis  VALKENBURG recto, o. ","","https://commons.wikimedia.org/wiki/Category:070_Schin_op_Geul-Maastricht|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","01-01-1920","31-12-1940","Publiek Domein 1.0",,,,"breedte 13 cm","hoogte 9 cm"
"FC8A41B9A50B515CA5573EA8C8E9DD32","151825","Afbeelding van een electrisch treinstel (Plan Y ''Sprinter'') van de N.S..","  ","","","01-07-1975","31-07-1975","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"63CAC50FA4405D5286825E6BB7BE6882","154611","Gezicht op het N.S.-station Driebergen te Driebergen-Rijsenburg, met op de voorgrond de constructie voor de kruising van de bovenleidingen van de trein en de tram van de N.B.M.  N.B. De naam van het station is in 1948 gewijzigd in Driebergen-Zeist.","  ","","https://commons.wikimedia.org/wiki/Category:035_Lunetten-De_Haar_Aansluiting|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-07-1938","31-07-1938","Publiek Domein 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"FA8BE38051A55CABA2BF38163D5A77E4","160624","Afbeelding van overstappende reizigers van de trein op de boot op het N.S.-station Stavoren te Stavoren.","Afbeelding behoort tot de Collectie De Pater. Ca. 1980 gemaakte afdruk.  ","","https://commons.wikimedia.org/wiki/Category:008_Leeuwarden-Stavoren|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","01-01-1945","31-12-1950","Publiek Domein 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 11 cm","hoogte 8 cm"
"72255F75EC93521CAD2DF1879E415BC4","167593","Afbeelding van de Spoorpont II van Rederij Koppe voor het overzetten van goederenwagens tussen de Rietlanden en Amsterdam Noord (raccordement Distelweg), bij de aanlegplaats te Amsterdam Noord.","  ","http://www.wikidata.org/entity/Q2539213","https://commons.wikimedia.org/wiki/Category:483_Amsterdam_Rietlanden|https://commons.wikimedia.org/wiki/Category:Freight|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Vessels","13-03-1957","13-03-1957","CC0 1.0","Nederlandse Spoorwegen","Nederlandse Spoorwegen, fotograaf",,"breedte 24 cm","hoogte 18 cm"
"E30BB43091325698979E8908447EC3C4","168805","Afbeelding van een gezelschap op het perron van het N.S.-station Soestdijkerstraatweg te Hilversum, ter gelegenheid van het 75-jarig bestaan van de firma Verkade, met langs het perron een extra trein bestaande uit rijtuigen plan D van de N.S.  N.B. De stationsnaam Soestdijkerstraatweg is op 30 mei 1965 gewijzigd in Hilversum Sportpark.","  ","http://www.wikidata.org/entity/Q19522951","https://commons.wikimedia.org/wiki/Category:095_Hilversum-Blauwkapel|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","02-05-1961","02-05-1961","CC BY 4.0","Nederlandse Spoorwegen","Hessels, L. (Nederlandse Spoorwegen), fotograaf",,"breedte 13 cm","hoogte 18 cm"
"2504B889238657FFAB42765DB46E9A94","162626","Gezicht op de spoorlijn Amsterdam-Amersfoort te Baarn, met op de achtergrond de voetgangersbrug.","Afbeelding behoort tot de Collectie De Pater.  ","","","01-01-1925","31-12-1929","Publiek Domein 1.0",,,,"hoogte 8 cm","breedte 13 cm"
"9ACF1CF4EE355803A971A30234719803","171859","Afbeelding van de opening van het nieuwe N.S.-station Tilburg West te Tilburg, met Prins Carnaval die het vertreksein geeft voor de officiële openingstrein.","NS fotonummer 22676  ","","https://commons.wikimedia.org/wiki/Category:123_Breda-Tilburg|https://commons.wikimedia.org/wiki/Category:King%27s_and_Queen%27s_Commissioners_of_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Opening_ceremonies_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","29-05-1969","29-05-1969","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 13 cm","hoogte 18 cm"
"E17D00B0226C5CED99A38B7CD5007D00","154987","Afbeelding van een electrisch treinstel (Mat. 1964, Plan P) van de N.S. op de DEMKA-brug over het Amsterdam-Rijnkanaal te Utrecht.","  ","","","01-01-1976","31-12-1976","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"50E043B1013B516E928A0490CC8788AF","154491","Afbeelding van mr. M.G. de Bruin, president-directeur van de N.S., tijdens een toespraak bij de opening van de Traverse van het N.S.-station Utrecht C.S. te Utrecht. Op de eerste rij zitten de heer en mevrouw De Ranitz.","  ","","","29-11-1969","29-11-1969","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"D29FBB56E9735956A1A4AA47FFD9B668","164271","Afbeelding van goederenwagens op de Oostelijke Handelskade te Amsterdam.","Afbeelding behoort tot de Collectie De Pater.  ","http://www.wikidata.org/entity/Q2552174","https://commons.wikimedia.org/wiki/Category:483_Amsterdam_Rietlanden|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-10-1948","31-10-1948","CC BY 4.0","Nederlandse Spoorwegen","Gerdessen, D.C. (Nederlandse Spoorwegen), fotograaf",,"breedte 11 cm","hoogte 17 cm"
