"GUID","Catalogusnummer","Beschrijving","notities","spatials","categorieen","Datering_vroegst","Datering_laatst","licentie","Auteursrechthouder","Vervaardiger","cxtwd_uitgdruk","Afmeting","Afmeting_2"
"3D6E648B3D065235A8C1D38B0064AF55","151426","Afbeelding van de stoomlocomotief ""Antwerpen"" van de A.M. (Aken-Maastrichtse Spoorweg-Maatschappij).","  ","","","01-01-1865","31-12-1865","Publiek Domein 1.0",,,,"breedte 18 cm","hoogte 13 cm"
"2E97B924468851559A8D7E3227597F64","152685","Gezicht op de bouw van een brugdeel voor de nieuwe, definitieve spoorbrug over het Hollands Diep bij Moerdijk.","  ","","https://commons.wikimedia.org/wiki/Category:119_Lage_Zwaluwe-Dordrecht|https://commons.wikimedia.org/wiki/Category:Bridges_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode","13-04-1954","13-04-1954","CC0 1.0","Nederlandse Spoorwegen","Schaik, W.P.F.M. van (Nederlandse Spoorwegen), fotograaf",,"breedte 18 cm","hoogte 13 cm"
"3DF0FDB4CFB55437812669B82BA7C853","153301","Gezicht op het nieuwe N.S.-station Klarenbeek te Klarenbeek.","  ","","https://commons.wikimedia.org/wiki/Category:208_Apeldoorn-Zutphen|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","03-09-1959","03-09-1959","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"DAA844DAA8C5501BA0C139E378124B31","171932","Gezicht op de opstelplaats voor personenauto's voor de autoslaaptrein op het N.S.-station 's -Hertogenbosch te 's-Hertogenbosch.","  ","","https://commons.wikimedia.org/wiki/Category:%27s-Hertogenbosch_train_station|https://commons.wikimedia.org/wiki/Category:614_'s-Hertogenbosch","01-01-1970","31-12-1975","CC BY 4.0","Het Utrechts Archief","Stenvert, J., fotograaf",,"breedte 17 cm","hoogte 12 cm"
"586980CA87145D9899FE4FD81C999EA3","150969","Gezicht op bloembollenvelden met een molen en een gedeelte van een passerend electrisch treinstel mat. 1946 van de N.S. ter hoogte van Hillegom.","  ","","https://commons.wikimedia.org/wiki/Category:085_Haarlem-Warmond|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Spring_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Windmills_in_the_Netherlands","24-04-1959","24-04-1959","CC BY 4.0","Nederlandse Spoorwegen","Gerdessen, D.C. (Nederlandse Spoorwegen), fotograaf",,"breedte 18 cm","hoogte 13 cm"
"217C3E762F995065A470A64845FDCD21","161214","Gezicht op het perron van het tramstation te Bergen aan Zee tijdens de aankomst van een tram uit Alkmaar, getrokken door een stoomlocomotief uit de serie 6900 van de N.S.","Afbeelding behoort tot de Collectie De Pater. Bergen aan Zee  Aankomst Tram ","","","01-01-1930","31-12-1940","Publiek Domein 1.0",,,,"hoogte 8 cm","breedte 13 cm"
"0D5321747BA35FD6A9CA122924622EFC","150183","Gezicht op het N.S.-station Bovenkarspel-Grootebroek te Bovenkarspel.","  ","","https://commons.wikimedia.org/wiki/Category:217_Hoorn-Enkhuizen|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-04-1975","30-04-1975","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 18 cm","hoogte 13 cm"
"F48B0F4398CE54BC9C3A7E5D835CEAB1","161755","Gezicht op het N.S.-station Kampen te Kampen.","Afbeelding behoort tot de Collectie De Pater. Station Noord en Buiten-Societeit KAMPEN ","","https://commons.wikimedia.org/wiki/Category:015_Zwolle-Kampen|https://commons.wikimedia.org/wiki/Category:Railway_lines_in_the_Netherlands_by_Geocode|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","01-01-1925","31-12-1935","Publiek Domein 1.0",,,,"breedte 14 cm","hoogte 9 cm"
"9544A6A59BA95D379407F5EECB3DEB78","160604","Afbeelding van werkzaamheden aan de noordzijde van het N.S.-station Utrecht C.S. te Utrecht.","Afbeelding behoort tot de Collectie De Pater. Ca. 1980 gemaakte afdruk.  ","","https://commons.wikimedia.org/wiki/Category:531_Utrecht_CS|https://commons.wikimedia.org/wiki/Category:Utrecht_Central_station","01-01-1938","31-12-1940","Publiek Domein 1.0",,"Nederlandse Spoorwegen, fotograaf",,"hoogte 8 cm","breedte 11 cm"
"CCEF421FCF035C41A49398F054EC7DA7","171528","Afbeelding van de aanbieding van enkele vrijbiljetten door burgemeester mr. T.M.J. de Graaf aan enkele leerlingen van de St. Maartenskliniek te Nijmegen tijdens de officiële opening van de vernieuwde hal van het N.S.-station Nijmegen.","NS fotonummer 26894. Zie ook De Koppeling nr. 488, 16 november 1973, blz. 2: ""Nijmeegse stationshal feestelijk heropend"".  ","","https://commons.wikimedia.org/wiki/Category:514_Nijmegen|https://commons.wikimedia.org/wiki/Category:Disabled_people_from_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Mayors_of_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Opening_ceremonies_in_the_Netherlands|https://commons.wikimedia.org/wiki/Category:Station_Nijmegen|https://commons.wikimedia.org/wiki/Category:Train_stations_in_the_Netherlands","09-11-1973","09-11-1973","CC0 1.0",,"Nederlandse Spoorwegen, fotograaf",,"breedte 13 cm","hoogte 18 cm"
